date,commodity,expiry,strike,call_put,settle_price,volume,open_interest,oi_change,delta,implied_vol_pct,black76_price,futures_price,underlying_fut,dte,time_to_expiry_yrs
2026-04-02,CT,JUL26,77.0000,C,1.4500,351,4851,351,0.3193,23.0900,1.4572,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,77.0000,P,5.3800,0,1,0,0.6815,23.0900,5.3728,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,78.0000,C,1.2400,514,5292,500,0.2801,23.5100,1.2400,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,79.0000,C,1.0700,20,318,-2,0.2461,24.0700,1.0700,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,80.0000,C,0.9400,73,5276,36,0.2173,24.8800,0.9502,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,80.0000,P,7.8500,0,1,0,0.7854,24.8800,7.8397,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,81.0000,C,0.8100,5,397,5,0.1909,25.2500,0.8100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,82.0000,C,0.7000,4,605,4,0.1676,25.7400,0.7000,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,83.0000,C,0.6100,54,425,35,0.1472,26.2600,0.6100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,84.0000,C,0.5300,24,110,23,0.1292,26.7400,0.5300,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,85.0000,C,0.4500,11,870,0,0.1129,27.0200,0.4500,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,86.0000,C,0.3900,5,89,5,0.0986,27.4500,0.3900,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,87.0000,C,0.3400,4,86,4,0.0862,28.4700,0.3702,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,87.0000,P,14.2300,0,5,0,0.9216,28.4700,14.1986,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,88.0000,C,0.2900,43,448,24,0.0754,28.9000,0.3242,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,88.0000,P,15.1800,0,4,0,0.9331,28.9000,15.1439,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,89.0000,C,0.2500,1,89,0,0.0658,28.5100,0.2500,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,90.0000,C,0.2200,71,2282,71,0.0573,28.9600,0.2200,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,91.0000,C,0.1900,0,17,0,0.0503,29.2800,0.1900,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,92.0000,C,0.1600,0,30,0,0.0442,29.4500,0.1600,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,93.0000,C,0.1400,0,7,0,0.0388,29.8300,0.1400,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,94.0000,C,0.1300,0,26,0,0.0342,30.4900,0.1300,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,95.0000,C,0.1100,0,50,0,0.0301,30.6500,0.1100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,96.0000,C,0.1000,0,36,0,0.0265,31.1700,0.1000,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,100.0000,C,0.0600,20,1785,20,0.0162,32.4400,0.0600,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,110.0000,C,0.0200,0,276,0,0.0051,35.6200,0.0200,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,125.0000,C,0.0100,0,61,0,0.0010,42.2100,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,150.0000,C,0.0100,0,379,0,0.0001,54.6500,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,175.0000,C,0.0100,0,5,0,0.0000,64.8500,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,200.0000,C,0.0100,0,350,0,0.0000,73.5100,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,250.0000,C,0.0100,0,299,0,0.0000,87.6100,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL26,300.0000,C,0.0100,0,350,0,0.0000,98.8400,0.0100,73.0500,JUL26,71,0.1945
2026-04-02,CT,JUL27,54.0000,P,0.1200,0,1,0,0.0237,16.0700,0.1200,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,66.0000,P,1.2400,0,50,0,0.1804,14.6500,1.2400,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,68.0000,P,1.8700,0,50,0,0.2404,15.2100,1.8700,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,69.0000,C,8.3100,0,1,0,0.7348,16.1200,8.3100,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,70.0000,C,7.7400,0,9,0,0.7011,16.2600,7.7400,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,71.0000,C,7.2000,0,27,0,0.6678,16.3900,7.2000,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,72.0000,P,3.5600,0,50,0,0.3661,16.2800,3.5600,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,75.0000,C,5.4000,0,50,0,0.5420,17.0700,5.3940,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,75.0000,P,5.1700,0,50,0,0.4579,17.0700,5.1760,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,77.0000,C,4.6700,0,50,0,0.4852,17.4300,4.6700,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,80.0000,C,3.7600,0,50,0,0.4085,17.9500,3.7600,75.2300,JUL27,435,1.1918
2026-04-02,CT,JUL27,81.0000,C,3.5000,0,24,0,0.3854,18.1200,3.5000,75.2300,JUL27,435,1.1918
